player_id,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
8897,Robert Covington,HOU,29,200.66,94.800728,Tennessee State,USA,Undrafted,Undrafted,Undrafted,70,12.4,6.6,1.3,0.9,0.027000000000000003,0.18,0.16899999999999998,0.5589999999999999,0.059000000000000004,2019-20
5111,Victor Oladipo,MIA,30,193.04,96.615096,Indiana,USA,2013,1,2,8,12.4,2.9,3.5,-1.4,0.017,0.11,0.247,0.608,0.27699999999999997,2021-22
203,Brook Lopez,MIL,34,213.36,127.912944,Stanford,USA,2008,1,10,13,12.4,4.1,0.5,-1.4,0.057999999999999996,0.10800000000000001,0.21100000000000002,0.57,0.03,2021-22
648,Eric Gordon,LAC,34,190.5,97.52228000000001,Indiana,USA,2008,1,7,69,12.4,1.9,2.7,-5.8,0.008,0.059000000000000004,0.171,0.5870000000000001,0.133,2022-23
9309,Mac McClung,PHI,24,187.96,83.91452,Texas Tech,USA,Undrafted,Undrafted,Undrafted,2,12.5,5,4.5,19.6,0.073,0.152,0.243,0.563,0.29,2022-23
8995,Seth Curry,PHI,30,187.96,83.91452,Duke,USA,Undrafted,Undrafted,Undrafted,57,12.5,2.4,2.7,8.2,0.006,0.074,0.16899999999999998,0.607,0.131,2020-21
241,Cameron Johnson,PHX,26,203.2,95.25432,North Carolina,USA,2019,1,11,66,12.5,4.1,1.5,6.2,0.023,0.12300000000000001,0.16699999999999998,0.625,0.079,2021-22
5151,Kelly Olynyk,UTA,32,210.82,108.86208,Gonzaga,Canada,2013,1,13,68,12.5,6.2,3.7,0.4,0.042,0.16399999999999998,0.17600000000000002,0.643,0.17300000000000001,2022-23
4769,Jeremy Lamb,IND,28,195.58,81.64656,Connecticut,USA,2012,1,12,46,12.5,4.3,2.1,-0.9,0.019,0.135,0.195,0.547,0.107,2019-20
882,Jakob Poeltl,TOR,27,215.9,111.13004,Utah,Austria,2016,1,9,72,12.5,9.1,2.7,-3.1,0.11699999999999999,0.24,0.18,0.635,0.146,2022-23
6869,Josh Giddey,OKC,19,203.2,92.98635999999999,None,Australia,2021,1,6,54,12.5,7.8,6.4,-8.3,0.052000000000000005,0.175,0.218,0.478,0.325,2021-22
6176,Monte Morris,DEN,27,187.96,83.007336,Iowa State,USA,2017,2,51,75,12.6,3,4.4,6,0.013000000000000001,0.087,0.17300000000000001,0.583,0.201,2021-22
884,Jalen Brunson,DAL,24,185.42,86.18248,Villanova,USA,2018,2,33,68,12.6,3.4,3.5,4.9,0.016,0.11699999999999999,0.196,0.618,0.215,2020-21
6636,Nic Claxton,BKN,24,210.82,97.52228000000001,Georgia,USA,2019,2,31,76,12.6,9.2,1.9,3.7,0.088,0.213,0.155,0.691,0.091,2022-23
503,Dennis Schroder,LAL,29,185.42,78.017824,None,Germany,2013,1,17,66,12.6,2.5,4.5,2.8,0.011000000000000001,0.067,0.183,0.545,0.20199999999999999,2022-23
5667,Myles Turner,IND,25,210.82,113.398,Texas-Austin,USA,2015,1,11,47,12.6,6.5,1,1.3,0.043,0.159,0.16699999999999998,0.599,0.047,2020-21
4804,Will Barton,DEN,30,198.12,82.10015200000001,Memphis,USA,2012,2,40,56,12.7,4,3.2,6,0.024,0.109,0.187,0.5379999999999999,0.135,2020-21
36,Alec Burks,NYK,29,198.12,97.068688,Colorado,USA,2011,1,12,49,12.7,4.6,2.2,5,0.016,0.156,0.20800000000000002,0.564,0.135,2020-21
6365,Miles Bridges,CHA,23,198.12,102.0582,Michigan State,USA,2018,1,12,66,12.7,6,2.2,0.3,0.040999999999999995,0.158,0.17,0.625,0.113,2020-21
333,Coby White,CHI,22,193.04,88.45044,North Carolina,USA,2019,1,7,61,12.7,3,2.9,-1.2,0.011000000000000001,0.099,0.195,0.564,0.147,2021-22
5957,Malik Beasley,LAL,26,193.04,84.821704,Florida State,USA,2016,1,19,81,12.7,3.5,1.5,-2.2,0.016,0.11599999999999999,0.207,0.531,0.086,2022-23
387,Damion Lee,GSW,27,195.58,95.25432,Drexel,USA,Undrafted,Undrafted,Undrafted,49,12.7,4.9,2.7,-4.1,0.021,0.14400000000000002,0.184,0.5479999999999999,0.139,2019-20
6813,Kenyon Martin Jr.,HOU,22,200.66,97.52228000000001,None,USA,2020,2,52,82,12.7,5.5,1.5,-8,0.052000000000000005,0.14300000000000002,0.16,0.635,0.079,2022-23
